,pred,pred_round,valid,D,H,A,valid_rai,raw_rai
80,0.9411764705882353,1,2,3.75,1.95,3.75,1.95,-100.0
81,1.0541666666666667,1,2,3.4,2.35,3.0,2.35,-100.0
82,1.0541666666666667,1,1,4.2,1.72,4.2,1.72,72.0
83,1.0541666666666667,1,2,5.5,1.3,10.0,1.3,-100.0
84,0.9411764705882353,1,2,4.0,1.57,6.0,1.57,-100.0
85,1.3375,1,1,5.0,1.4,7.5,1.4,40.0
86,1.075,1,1,3.6,1.8,4.5,1.8,80.0
87,1.0541666666666667,1,0,7.0,12.0,1.22,12.0,-100.0
88,1.29375,1,1,3.8,5.25,1.65,5.25,425.0
89,0.725609756097561,1,2,3.75,3.9,1.9,3.9,-100.0
90,0.725609756097561,1,0,3.4,3.1,2.3,3.1,-100.0
91,1.6625,2,2,11.0,1.08,26.0,26.0,2500.0
92,1.0541666666666667,1,2,3.25,2.9,2.5,2.9,-100.0
93,0.47619047619047616,0,1,3.6,2.15,3.25,3.6,-100.0
94,1.075,1,1,3.5,2.1,3.5,2.1,110.0
95,1.0541666666666667,1,0,4.0,4.5,1.72,4.5,-100.0
96,1.29375,1,1,3.1,3.0,2.55,3.0,200.0
97,1.475,1,1,4.75,1.45,6.5,1.45,45.0
98,1.6125,2,2,4.33,1.5,6.5,6.5,550.0
99,0.725609756097561,1,0,4.0,4.33,1.75,4.33,-100.0
100,1.0541666666666667,1,2,3.6,3.25,2.15,3.25,-100.0
101,1.475,1,1,3.75,1.75,4.75,1.75,75.0
102,1.0541666666666667,1,0,5.0,9.0,1.33,9.0,-100.0
103,1.0541666666666667,1,2,4.2,1.72,4.33,1.72,-100.0
104,1.6625,2,2,13.0,1.07,23.0,23.0,2200.0
105,0.725609756097561,1,2,3.2,2.25,3.4,2.25,-100.0
106,1.075,1,0,3.8,1.75,4.5,1.75,-100.0
107,0.47619047619047616,0,0,4.33,5.0,1.61,4.33,333.0
108,1.0541666666666667,1,0,3.4,3.5,2.1,3.5,-100.0
109,0.9411764705882353,1,1,3.4,2.7,2.6,2.7,170.0
110,0.725609756097561,1,0,3.5,2.7,2.55,2.7,-100.0
111,1.0541666666666667,1,2,5.0,1.33,10.0,1.33,-100.0
112,1.0541666666666667,1,2,3.5,2.25,3.1,2.25,-100.0
113,1.29375,1,2,3.25,2.55,2.8,2.55,-100.0
114,0.725609756097561,1,0,3.3,2.9,2.45,2.9,-100.0
115,1.3375,1,1,4.0,1.57,6.0,1.57,57.0
116,0.9411764705882353,1,2,3.75,2.0,3.5,2.0,-100.0
117,1.29375,1,2,3.75,1.6,6.5,1.6,-100.0
118,1.075,1,2,3.5,1.9,4.2,1.9,-100.0
119,1.6125,2,2,3.6,2.5,2.62,2.62,162.0
120,1.075,1,0,4.33,4.2,1.7,4.2,-100.0
121,1.475,1,1,4.75,1.45,6.5,1.45,45.0
122,1.0541666666666667,1,0,3.3,2.75,2.6,2.75,-100.0
123,1.0541666666666667,1,0,3.5,3.75,2.0,3.75,-100.0
124,1.0541666666666667,1,0,4.75,7.5,1.4,7.5,-100.0
125,0.9411764705882353,1,0,5.1,1.36,8.0,1.36,-100.0
126,0.47619047619047616,0,0,3.4,2.3,3.1,3.4,240.0
127,1.6625,2,2,5.0,1.44,6.5,6.5,550.0
128,0.725609756097561,1,1,3.4,3.5,2.1,3.5,250.0
129,1.0541666666666667,1,2,3.4,2.05,3.7,2.05,-100.0
130,1.29375,1,1,8.0,13.0,1.16,13.0,1200.0
131,1.0541666666666667,1,0,3.25,2.25,3.3,2.25,-100.0
132,1.0541666666666667,1,0,6.0,1.28,9.0,1.28,-100.0
133,1.6125,2,2,7.0,1.18,15.0,15.0,1400.0
134,1.3375,1,2,5.5,1.36,7.5,1.36,-100.0
135,0.725609756097561,1,2,3.4,2.1,3.5,2.1,-100.0
136,0.725609756097561,1,1,4.33,4.0,1.75,4.0,300.0
137,1.075,1,1,3.5,1.9,4.2,1.9,90.0
138,0.9411764705882353,1,2,4.0,1.61,5.25,1.61,-100.0
139,1.29375,1,1,4.5,1.45,7.0,1.45,45.0
140,1.0541666666666667,1,2,3.4,2.2,3.25,2.2,-100.0
141,1.0541666666666667,1,0,7.0,11.0,1.22,11.0,-100.0
142,1.0541666666666667,1,2,5.75,1.28,10.0,1.28,-100.0
143,0.9411764705882353,1,2,5.5,1.33,8.0,1.33,-100.0
144,1.29375,1,2,3.4,2.75,2.55,2.75,-100.0
145,0.725609756097561,1,2,4.0,1.72,4.2,1.72,-100.0
146,1.075,1,2,3.7,1.75,4.75,1.75,-100.0
147,1.6125,2,2,5.0,1.36,8.5,8.5,750.0
148,0.725609756097561,1,0,3.4,1.83,4.6,1.83,-100.0
149,1.475,1,0,4.33,1.57,5.5,1.57,-100.0
150,0.9411764705882353,1,2,3.75,3.5,2.0,3.5,-100.0
151,1.0541666666666667,1,0,5.25,7.0,1.4,7.0,-100.0
152,1.3375,1,2,4.75,1.4,8.0,1.4,-100.0
153,0.47619047619047616,0,1,3.3,2.37,3.1,3.3,-100.0
154,1.6625,2,0,5.5,1.3,10.0,10.0,-100.0
155,1.0541666666666667,1,0,3.8,4.33,1.8,4.33,-100.0
156,1.29375,1,2,3.2,2.5,2.9,2.5,-100.0
157,0.725609756097561,1,0,3.5,2.9,2.37,2.9,-100.0
158,1.0541666666666667,1,1,3.1,2.62,2.87,2.62,162.0
159,1.075,1,0,4.0,3.3,2.0,3.3,-100.0
160,1.6125,2,2,7.5,1.16,17.0,17.0,1600.0
161,1.0541666666666667,1,2,3.4,1.95,4.0,1.95,-100.0
162,1.0541666666666667,1,0,6.0,1.25,12.0,1.25,-100.0
163,0.9411764705882353,1,1,6.5,1.22,13.0,1.22,22.0
164,0.725609756097561,1,2,3.75,1.85,4.2,1.85,-100.0
165,0.725609756097561,1,0,3.8,1.9,3.8,1.9,-100.0
166,1.29375,1,1,3.7,1.8,4.5,1.8,80.0
167,1.075,1,0,3.4,3.25,2.25,3.25,-100.0
168,1.475,1,0,5.25,6.0,1.44,6.0,-100.0
169,1.0541666666666667,1,1,3.25,2.55,2.87,2.55,154.99999999999997
170,0.9411764705882353,1,1,3.8,2.3,2.87,2.3,129.99999999999997
171,1.0541666666666667,1,0,3.6,2.4,2.8,2.4,-100.0
172,1.0541666666666667,1,0,3.4,2.4,2.9,2.4,-100.0
173,1.0541666666666667,1,0,3.25,2.2,3.5,2.2,-100.0
174,1.29375,1,2,3.1,2.37,3.25,2.37,-100.0
175,0.725609756097561,1,0,3.8,3.75,1.9,3.75,-100.0
176,1.6625,2,2,5.25,1.36,7.5,7.5,650.0
177,0.47619047619047616,0,2,4.0,4.33,1.75,4.0,-100.0
178,1.3375,1,0,3.75,2.37,2.75,2.37,-100.0
179,1.3375,1,2,4.33,1.53,6.0,1.53,-100.0
180,1.0541666666666667,1,2,3.75,2.1,3.3,2.1,-100.0
181,1.0541666666666667,1,1,3.9,3.5,1.95,3.5,250.0
182,1.0541666666666667,1,0,5.25,1.33,9.0,1.33,-100.0
183,1.0541666666666667,1,2,3.4,2.3,3.1,2.3,-100.0
184,0.9411764705882353,1,2,3.75,1.7,5.0,1.7,-100.0
185,0.725609756097561,1,1,3.6,1.83,4.33,1.83,83.0
186,1.29375,1,2,5.25,1.33,9.0,1.33,-100.0
187,0.9411764705882353,1,0,3.75,3.4,2.05,3.4,-100.0
188,1.075,1,2,5.0,8.5,1.36,8.5,-100.0
189,1.0541666666666667,1,2,3.9,1.75,4.33,1.75,-100.0
190,1.29375,1,0,3.4,3.6,2.05,3.6,-100.0
191,0.725609756097561,1,1,3.6,1.95,3.8,1.95,95.0
192,0.47619047619047616,0,2,3.8,1.95,3.6,3.8,-100.0
193,0.725609756097561,1,1,4.0,5.0,1.66,5.0,400.0
194,1.075,1,0,3.9,4.0,1.83,4.0,-100.0
195,1.0541666666666667,1,0,3.75,4.33,1.8,4.33,-100.0
196,1.475,1,0,3.75,2.87,2.3,2.87,-100.0
197,1.6125,2,2,5.75,1.25,12.0,12.0,1100.0
198,1.6625,2,2,7.5,1.16,16.0,16.0,1500.0
199,1.0541666666666667,1,1,3.6,3.6,1.95,3.6,260.0
200,1.0541666666666667,1,0,3.8,1.75,4.33,1.75,-100.0
201,1.29375,1,0,3.8,5.0,1.66,5.0,-100.0
202,0.725609756097561,1,2,3.5,3.3,2.1,3.3,-100.0
203,0.47619047619047616,0,2,3.4,3.0,2.3,3.4,-100.0
204,1.6625,2,2,6.5,1.25,10.0,10.0,900.0
205,0.725609756097561,1,1,3.4,2.5,2.75,2.5,150.0
206,1.075,1,2,3.75,1.9,3.8,1.9,-100.0
207,1.475,1,2,3.6,2.55,2.62,2.55,-100.0
208,1.6125,2,2,6.5,1.2,13.0,13.0,1200.0
209,0.725609756097561,1,2,3.4,1.95,4.0,1.95,-100.0
210,1.0541666666666667,1,1,3.9,4.1,1.8,4.1,309.99999999999994
211,1.0541666666666667,1,2,5.5,1.28,11.0,1.28,-100.0
212,0.9411764705882353,1,2,3.8,1.85,4.0,1.85,-100.0
213,0.9411764705882353,1,0,4.0,1.6,5.5,1.6,-100.0
214,1.29375,1,2,5.25,1.33,8.5,1.33,-100.0
215,1.075,1,1,4.5,1.44,7.5,1.44,44.0
216,1.3375,1,0,4.33,4.5,1.66,4.5,-100.0
217,1.0541666666666667,1,0,3.3,2.6,2.7,2.6,-100.0
218,1.0541666666666667,1,0,8.5,13.0,1.16,13.0,-100.0
219,0.47619047619047616,0,1,3.5,3.25,2.2,3.5,-100.0
220,1.475,1,1,3.6,1.83,4.33,1.83,83.0
221,1.0541666666666667,1,1,4.0,1.66,5.0,1.66,66.0
222,1.6625,2,1,11.0,1.1,19.0,19.0,-100.0
223,0.725609756097561,1,2,3.5,2.2,3.25,2.2,-100.0
224,0.725609756097561,1,0,3.4,2.4,3.0,2.4,-100.0
225,1.075,1,1,3.5,2.9,2.37,2.9,190.0
226,1.29375,1,2,4.5,6.0,1.5,6.0,-100.0
227,1.0541666666666667,1,2,3.75,4.33,1.83,4.33,-100.0
228,1.6125,2,2,5.25,1.36,8.0,8.0,700.0
229,1.0541666666666667,1,2,3.5,2.8,2.45,2.8,-100.0
230,1.0541666666666667,1,2,3.4,2.87,2.45,2.87,-100.0
231,1.0541666666666667,1,0,3.25,2.7,2.7,2.7,-100.0
232,0.9411764705882353,1,1,4.1,1.55,6.0,1.55,55.0
